CD_LOJA;CD_MERCADORIA;ST_LIBERA_SEM_ESTOQUE;DS_CURVA_ABC;NR_QTDE_PONTO_RESSUPRIMENTO;NR_QTDE_ESTOQUE_SEGURANCA;NR_QTDE_ESTOQUE;NR_QTDE_RESERVA;DT_UltimaAlteracao;UsuarioUltimaAlteracao;ST_MERCADORIA_COMPRADA
1;1216;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-05-16 10:47:58.390;GRACILENE;
1;1217;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-07-30 12:47:33.797;GRACILENE;
1;1218;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-05-16 10:50:49.937;GRACILENE;
1;1219;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-03-16 09:51:48.737;GRACILENE;
1;1220;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-03-05 10:14:49.060;GRACILENE;
1;1221;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2013-11-21 17:24:41.150;ORANGE;
1;1222;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-07-02 10:35:12.873;GRACILENE;
1;1223;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-04-17 17:48:02.013;GRACILENE;
1;1224;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-10-03 09:43:03.420;GRACILENE;
1;1225;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-10-03 09:42:15.297;GRACILENE;
1;1226;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-05-22 16:51:47.310;GRACILENE;
1;1227;S;C;.0000000000;.0000000000;2.0000000000;.0000000000;2018-04-18 16:16:25.000;ORANGE;
1;1228;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-05-13 10:11:47.380;GRACILENE;
1;1229;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-08-30 14:07:12.700;GRACILENE;
1;1230;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-05-29 09:44:01.420;GRACILENE;
1;1231;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-05-29 09:45:06.293;GRACILENE;
1;1232;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-08-25 17:20:32.250;GRACILENE;
1;1233;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-08-20 08:51:18.193;GRACILENE;
1;1234;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-08-28 16:22:16.187;GRACILENE;
1;1235;S;;.0000000000;.0000000000;.0000000000;.0000000000;;;
1;1236;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-10-26 14:21:24.437;GRACILENE;
1;1237;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-10-26 14:18:01.827;GRACILENE;
1;1238;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-10-26 14:18:01.980;GRACILENE;
1;1239;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-06-04 14:34:16.730;GRACILENE;
1;1240;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-08-12 11:31:42.170;GRACILENE;
1;1241;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-11-05 16:57:29.937;GRACILENE;
1;1242;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-11-21 10:08:48.213;GRACILENE;
1;1243;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-07-13 17:23:51.090;GRACILENE;
1;1244;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-10-22 17:10:12.140;GRACILENE;
1;1245;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2015-03-18 15:28:12.713;ORANGE;
1;1246;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-09-28 13:30:58.577;GRACILENE;
1;1247;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-04-10 15:52:19.107;GRACILENE;
1;1248;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-08-08 11:48:39.810;GRACILENE;
1;1249;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-08-21 15:53:57.750;GRACILENE;
1;1250;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-09-10 11:07:11.623;GRACILENE;
1;1251;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-07-02 15:35:15.543;GRACILENE;
1;1252;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-07-02 15:35:15.827;GRACILENE;
1;1253;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-07-03 17:10:35.280;GRACILENE;
1;1254;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-10-26 14:18:02.140;GRACILENE;
1;1255;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-07-03 17:10:35.607;GRACILENE;
1;1256;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-08-30 13:51:34.310;GRACILENE;
1;1257;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-07-26 17:20:49.140;GRACILENE;
1;1258;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-07-18 13:06:05.623;GRACILENE;
1;1259;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-07-26 17:19:46.733;GRACILENE;
1;1260;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-09-21 11:29:35.890;GRACILENE;
